weight,product__ref,primary,secondary,basic_consumption
0.06798,c4273b859150083,Non-food merchandise,Merchandise,FALSE
0.05018,b72abb41c212635,Non-food merchandise,Merchandise,FALSE
0.1079,f3c8a0702a97469,Non-food merchandise,Merchandise,FALSE
0.28189,5adc7471af71bc9,Education,Services,FALSE
0.60934,5fb43f0c34708ba,Education,Services,FALSE
0.58042,282b19e8ba748cf,Education,Services,FALSE
0.02008,6168f56ae569c50,Non-food merchandise,Merchandise,FALSE
0.28974,432b94999870d1d,Education,Services,FALSE
0.11683,3326e7ef08d489b,Other services,Services,FALSE
0.54041,57e7091a4295fbd,Other services,Services,FALSE
0.07419,cd08e5a2b7d5888,Other services,Services,FALSE
0.36342,3448ce1fb14335c,Other services,Services,FALSE
1.50913,ce5d642f2df731e,Education,Services,FALSE
0.08811,970b77f2d4ce89a,Government fares,Energetics & government fares,FALSE
4.5765,ccb328d11952175,Other services,Services,FALSE
0.01578,927d23a105a4a43,Other services,Services,FALSE
2.82823,8c2158972d9a439,Other services,Services,FALSE
0.23911,b44508be4f5571b,Other services,Services,FALSE
0.21638,0d8ead92effd370,Other services,Services,FALSE
