weight,product__ref,primary,secondary,basic_consumption
0.06597,8eb83626ae93843,Mercancías no comestibles,Mercancías,FALSE
0.03,4ef11384bf379c6,Mercancías no comestibles,Mercancías,TRUE
0.11959,7fdc56ba19b264f,Mercancías no comestibles,Mercancías,FALSE
0.13503,191530497919ecd,Mercancías no comestibles,Mercancías,FALSE
0.09958,3b2958aeb92b9bd,Mercancías no comestibles,Mercancías,FALSE
0.28917,9aad27d82a4175b,Mercancías no comestibles,Mercancías,FALSE
0.04348,eff2a2e46ccdd1c,Mercancías no comestibles,Mercancías,FALSE
0.01913,45f043cf786e88e,Mercancías no comestibles,Mercancías,FALSE
0.49504,b96d306d59d27eb,Mercancías no comestibles,Mercancías,TRUE
0.34895,3a006d54324f7ad,Mercancías no comestibles,Mercancías,FALSE
0.11959,96b90665ceda727,Mercancías no comestibles,Mercancías,FALSE
0.08333,ef01acb3a344712,Mercancías no comestibles,Mercancías,FALSE
0.12974,f7272e61b20be85,Mercancías no comestibles,Mercancías,TRUE
0.0306,a30ab79dac6ea84,Mercancías no comestibles,Mercancías,TRUE
0.07012,ecbf6faf2061a0a,Mercancías no comestibles,Mercancías,FALSE
0.0187,5e5f555172a6e48,Mercancías no comestibles,Mercancías,FALSE
0.03194,398a1171fa23168,Mercancías no comestibles,Mercancías,FALSE
0.11748,73a6fa3e4b5e868,Mercancías no comestibles,Mercancías,TRUE
0.01429,e5ef2c47aa7726b,Mercancías no comestibles,Mercancías,FALSE
0.18427,f994d274bfc169e,Mercancías no comestibles,Mercancías,FALSE
0.0411,dc7c619f8fd5bea,Mercancías no comestibles,Mercancías,TRUE
0.04265,2f49c08055c573c,Mercancías no comestibles,Mercancías,FALSE
0.15639,98c2745bc160aa3,Mercancías no comestibles,Mercancías,FALSE
0.02216,35c15f5adc97960,Mercancías no comestibles,Mercancías,FALSE
0.03369,b0e8c85aa79b567,Mercancías no comestibles,Mercancías,FALSE
0.01041,ae2e657ec0aeb97,Mercancías no comestibles,Mercancías,TRUE
0.02579,51118b37ba26fd2,Mercancías no comestibles,Mercancías,FALSE
0.03213,1cce74fa747ed1a,Mercancías no comestibles,Mercancías,TRUE
0.15348,21a85c8d8ef4a27,Mercancías no comestibles,Mercancías,FALSE
0.23249,8f87860a427454a,Mercancías no comestibles,Mercancías,TRUE
0.01924,7a221198a23669c,Mercancías no comestibles,Mercancías,TRUE
0.03057,3d75b952359b10f,Mercancías no comestibles,Mercancías,FALSE
0.14602,47b47ba5aaa22f6,Mercancías no comestibles,Mercancías,FALSE
0.26402,77d5a8914792d8a,Mercancías no comestibles,Mercancías,TRUE
0.35491,f5deddaee26d795,Mercancías no comestibles,Mercancías,TRUE
0.01774,ab8baaec7d34d30,Mercancías no comestibles,Mercancías,FALSE
0.0877,aaa5c5f9272e733,Mercancías no comestibles,Mercancías,FALSE
0.13083,088823c888eefb1,Mercancías no comestibles,Mercancías,FALSE
0.08849,7a537fff3809608,Mercancías no comestibles,Mercancías,TRUE
0.23114,e56ef1c4c92c555,Otros servicios,Servicios,FALSE
0.21132,fcc66198985a615,Mercancías no comestibles,Mercancías,TRUE
0.04733,79c1d74bd7c3bf1,Mercancías no comestibles,Mercancías,TRUE
0.04776,318db3e3abdfe18,Mercancías no comestibles,Mercancías,TRUE
0.22242,5edecf999c7537a,Mercancías no comestibles,Mercancías,FALSE
0.02287,c94b643881f929b,Otros servicios,Servicios,FALSE
0.10283,a70a11ef79cba21,Mercancías no comestibles,Mercancías,TRUE
0.48758,754469bb34cafa5,Otros servicios,Servicios,FALSE
0.31784,2f16cd17b041959,Otros servicios,Servicios,FALSE
0.35475,07fb953c1f7b28f,Otros servicios,Servicios,FALSE
0.22757,f4273d617031e30,Mercancías no comestibles,Mercancías,TRUE
0.2398,fdf9d420a017e92,Mercancías no comestibles,Mercancías,TRUE
0.02328,42e305302e37c02,Mercancías no comestibles,Mercancías,TRUE
0.18481,663c083b8d99664,Mercancías no comestibles,Mercancías,TRUE
0.02362,571f53aa2ad0cea,Mercancías no comestibles,Mercancías,TRUE
0.02929,44f9d94284fd1fd,Mercancías no comestibles,Mercancías,TRUE
0.19268,ed197f7685aacd9,Otros servicios,Servicios,FALSE
0.10953,4530236cceda85c,Otros servicios,Servicios,FALSE
0.152,6097ac2bb1daf7c,Mercancías no comestibles,Mercancías,TRUE
0.2513,f5ce10178248bb5,Mercancías no comestibles,Mercancías,FALSE
0.23747,3acd89a77d9a1dc,Mercancías no comestibles,Mercancías,FALSE
0.05828,d89d9558e0c06d0,Mercancías no comestibles,Mercancías,TRUE
0.02601,b79278960699891,Mercancías no comestibles,Mercancías,TRUE
0.09874,e95be80c408afeb,Mercancías no comestibles,Mercancías,TRUE
0.03274,f15a144630f664e,Mercancías no comestibles,Mercancías,TRUE
0.11258,bab6c47f5c841da,Mercancías no comestibles,Mercancías,TRUE
0.12039,30120de9e84ddbd,Mercancías no comestibles,Mercancías,TRUE
0.18657,1306b9bc2ffff4b,Otros servicios,Servicios,FALSE
0.17808,d920e5d6d48c480,Mercancías no comestibles,Mercancías,FALSE
0.3742,593ab10bcf096d9,Mercancías no comestibles,Mercancías,TRUE
0.35608,64e21ecd5fde08b,Mercancías no comestibles,Mercancías,FALSE
0.55805,0d20b22b91e6666,Mercancías no comestibles,Mercancías,TRUE
0.33289,624dea30e5b1824,Mercancías no comestibles,Mercancías,FALSE
0.2055,dea512a0295f1c9,Otros servicios,Servicios,FALSE
0.08944,4c709ac9d82aa4f,Mercancías no comestibles,Mercancías,TRUE
0.20348,adad7f210d222df,Mercancías no comestibles,Mercancías,FALSE
0.06835,c20535d1d09b7df,Mercancías no comestibles,Mercancías,TRUE
0.06535,86ee923ea04732d,Mercancías no comestibles,Mercancías,FALSE
0.78871,73871a8e7b826b9,Otros servicios,Servicios,TRUE
1.02868,0c1d8ad925bae5e,Tarifas gubernamentales,Energéticos y Tarifas gubernamentales,TRUE
1.9003,99c94cf400fd2af,Mercancías no comestibles,Mercancías,FALSE
0.0267,9e023631368454c,Mercancías no comestibles,Mercancías,TRUE
1.23129,c6aa4a863c05158,Tarifas gubernamentales,Energéticos y Tarifas gubernamentales,TRUE
0.07052,839f42b85594846,Tarifas gubernamentales,Energéticos y Tarifas gubernamentales,FALSE
0.03385,18286f19007c8ab,Tarifas gubernamentales,Energéticos y Tarifas gubernamentales,FALSE
0.72436,615caab67c0ea3d,Energéticos,Energéticos y Tarifas gubernamentales,TRUE
5.3629,e78e4ada1e4ffff,Energéticos,Energéticos y Tarifas gubernamentales,TRUE
0.04341,8853c7ebe8bee59,Otros servicios,Servicios,FALSE
0.66479,9a98d19c46217fd,Otros servicios,Servicios,FALSE
0.07977,ae8ae8238364a77,Tarifas gubernamentales,Energéticos y Tarifas gubernamentales,TRUE
0.15187,f0901d2b15b819f,Mercancías no comestibles,Mercancías,TRUE
0.28192,75f6a29978c404d,Mercancías no comestibles,Mercancías,FALSE
0.11129,aa7333a7a6528d4,Mercancías no comestibles,Mercancías,FALSE
0.06306,d676851e1a2c0b5,Otros servicios,Servicios,FALSE
0.22626,0cb6a116408a39b,Otros servicios,Servicios,FALSE
0.66471,32ee9579bef8fe6,Tarifas gubernamentales,Energéticos y Tarifas gubernamentales,TRUE
0.13138,339f587645b1d38,Tarifas gubernamentales,Energéticos y Tarifas gubernamentales,FALSE
0.22496,397352021e229ca,Otros servicios,Servicios,FALSE
0.03814,38091376ba6ab16,Otros servicios,Servicios,FALSE
0.56101,af03fa5ccc1997e,Mercancías no comestibles,Mercancías,FALSE
0.04811,666795a334194de,Mercancías no comestibles,Mercancías,FALSE
0.06047,be7eb71d7814296,Educativos,Servicios,FALSE
0.02963,8702fa4a42291b6,Otros servicios,Servicios,FALSE
0.17558,4062b14160a5c60,Otros servicios,Servicios,TRUE
0.19226,51c8cb86c53bd4e,Otros servicios,Servicios,FALSE
0.2056,f1537ff0b50be2f,Educativos,Servicios,FALSE
0.07067,39546dacfcca351,Educativos,Servicios,FALSE
0.24609,51b2dd203f0453f,Otros servicios,Servicios,FALSE
0.0581,9684f06883cd3c1,Mercancías no comestibles,Mercancías,FALSE
0.07632,98f053d7af3551a,Mercancías no comestibles,Mercancías,FALSE
0.25995,a0910c091308d11,Mercancías no comestibles,Mercancías,FALSE
0.11138,511e9369f0c4115,Mercancías no comestibles,Mercancías,FALSE
0.55065,b447c459fafaacd,Mercancías no comestibles,Mercancías,TRUE
0.08768,afb64fbf8eb6b11,Mercancías no comestibles,Mercancías,FALSE
0.0809,957878577943cd1,Mercancías no comestibles,Mercancías,FALSE
0.66194,aea0cc7548f5a7f,Otros servicios,Servicios,FALSE
1.08761,59104e45572e2c9,Otros servicios,Servicios,FALSE
0.06798,c4273b859150083,Mercancías no comestibles,Mercancías,FALSE
0.05018,b72abb41c212635,Mercancías no comestibles,Mercancías,FALSE
0.1079,f3c8a0702a97469,Mercancías no comestibles,Mercancías,FALSE
0.28189,5adc7471af71bc9,Educativos,Servicios,FALSE
0.60934,5fb43f0c34708ba,Educativos,Servicios,FALSE
0.58042,282b19e8ba748cf,Educativos,Servicios,FALSE
0.02008,6168f56ae569c50,Mercancías no comestibles,Mercancías,FALSE
0.28974,432b94999870d1d,Educativos,Servicios,FALSE
0.11683,3326e7ef08d489b,Otros servicios,Servicios,FALSE
0.54041,57e7091a4295fbd,Otros servicios,Servicios,FALSE
0.07419,cd08e5a2b7d5888,Otros servicios,Servicios,FALSE
0.36342,3448ce1fb14335c,Otros servicios,Servicios,FALSE
1.50913,ce5d642f2df731e,Educativos,Servicios,FALSE
0.08811,970b77f2d4ce89a,Tarifas gubernamentales,Energéticos y Tarifas gubernamentales,FALSE
4.5765,ccb328d11952175,Otros servicios,Servicios,FALSE
0.01578,927d23a105a4a43,Otros servicios,Servicios,FALSE
2.82823,8c2158972d9a439,Otros servicios,Servicios,FALSE
0.23911,b44508be4f5571b,Otros servicios,Servicios,FALSE
0.21638,0d8ead92effd370,Otros servicios,Servicios,FALSE
